Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM	Tissue_specific
VEPH1	FLJ12604, KIAA1692	ENSG00000197415	Ventricular zone expressed PH domain containing 1	3	157259742-157533619	Predicted intracellular proteins	Evidence at protein level	HPA026645	Uncertain	NA	Approved	Nucleus<br>Nucleoli<br>Cytosol	Renal cancer:7.75e-9 (favourable)	Mixed	Tissue enhanced	NA	adrenal gland: 26.6;kidney: 28.8;lung: 43.9	epididymis: 21.4	Cell line enhanced	NA	HUVEC TERT2: 204.2;TIME: 119.8	Lung
VIPR1	HVR1, RDC1, VPAC1, VPAC1R	ENSG00000114812	Vasoactive intestinal peptide receptor 1	3	42489299-42537573	G-protein coupled receptors, Predicted membrane proteins, Transporters	Evidence at protein level	HPA026777	Approved	NA	NA	NA	NA	Tissue enhanced	Tissue enhanced	NA	lung: 60.0	duodenum: 34.4	Cell line enhanced	NA	CAPAN-2: 53.2;RT4: 34.8;WM-115: 77.3	Lung
XXbac-BPG116M5.17	NA	ENSG00000244255	NA	6	31927698-31952048	Predicted secreted proteins	Evidence at protein level	HPA000951, HPA001817, HPA001832	Approved	NA	NA	NA	NA	Not detected	Tissue enhanced	NA	liver: 3.3;lung: 2.9	spleen: 1.2	Not detected	NA	NA	Lung
ZNF385B	FLJ25270, ZNF533	ENSG00000144331	Zinc finger protein 385B	2	179441982-179861505	Predicted intracellular proteins	Evidence at protein level	HPA046086	NA	NA	Supported	Nucleoli fibrillar center	Renal cancer:1.04e-9 (favourable), Breast cancer:4.86e-8 (favourable)	Group enriched	Tissue enhanced	NA	lung: 27.5	prostate: 20.0	Cell line enhanced	NA	Daudi: 12.3;HAP1: 32.8;U-698: 60.0	Lung
PIP	GCDFP-15, GCDFP15, GPIP4	ENSG00000159763	Prolactin induced protein	7	143132077-143139746	Plasma proteins, Predicted secreted proteins	Evidence at protein level	CAB002661, HPA009177	Enhanced	NA	NA	NA	Renal cancer:5.96e-5 (favourable)	Tissue enriched	Group enriched	618	breast: 4504.1;salivary gland: 6904.2;seminal vesicle: 4198.4	cervix, uterine: 8.4	Cell line enriched	415	T-47d: 649.3	Breast
LALBA	LYZL7	ENSG00000167531	Lactalbumin alpha	12	48567684-48570066	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	CAB026343, HPA029855, HPA029856	Supported	NA	NA	NA	NA	Tissue enriched	Tissue enriched	566	breast: 2476.8	testis: 4.3	Not detected	NA	NA	Breast
CSN2	CASB	ENSG00000135222	Casein beta	4	69955256-69961007	Predicted secreted proteins	Evidence at protein level	HPA041036	Supported	NA	NA	NA	NA	Tissue enriched	Tissue enriched	348	breast: 347.6	salivary gland: 0.9	Not detected	NA	NA	Breast
SULT1C3	NA	ENSG00000196228	Sulfotransferase family 1C member 3	2	108247195-108265351	Enzymes, Predicted intracellular proteins	Evidence at protein level	NA	NA	NA	NA	NA	NA	Tissue enhanced	Tissue enriched	142	breast: 450.3	duodenum: 3.1	Not detected	NA	NA	Breast
DCD	AIDD, DCD-1, DSEP, HCAP, PIF	ENSG00000161634	Dermcidin	12	54644591-54648493	Plasma proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA063967	Supported	NA	NA	NA	NA	Tissue enriched	Tissue enriched	96	breast: 336.4	skeletal muscle: 3.5	Not detected	NA	NA	Breast
CSN1S1	CASA, CSN1	ENSG00000126545	Casein alpha s1	4	69931081-69946574	Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA035659, HPA057031	Enhanced	NA	NA	NA	NA	Tissue enriched	Tissue enriched	85	breast: 1600.9	adipose tissue: 18.9	Not detected	NA	NA	Breast
ACSM1	BUCS1, MACS1	ENSG00000166743	Acyl-CoA synthetase medium-chain family member 1	16	20623237-20698890	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA046291	Uncertain	NA	NA	NA	NA	Group enriched	Tissue enriched	49	breast: 298.7	prostate: 6.0	Group enriched	11	K-562: 3.2;NTERA-2: 15.6	Breast
BTN1A1	BT, BTN, BTN1	ENSG00000124557	Butyrophilin subfamily 1 member A1	6	26501221-26510422	Predicted membrane proteins	Evidence at protein level	HPA011126, CAB037340	Supported	NA	NA	NA	NA	Tissue enhanced	Tissue enriched	49	breast: 36.8	lymph node,tonsil: 0.7	Cell line enriched	5	CACO-2: 3.8	Breast
MUCL1	SBEM	ENSG00000172551	Mucin like 1	12	54830519-54858393	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA039093	Enhanced	NA	NA	NA	NA	Tissue enriched	Tissue enriched	43	breast: 3798.1	salivary gland: 89.1	Cell line enhanced	NA	MCF7: 1.5;SK-BR-3: 3.5	Breast
KRT71	K6IRS1, KRT6IRS, KRT6IRS1	ENSG00000139648	Keratin 71	12	52543909-52553147	Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA049404	Supported	NA	NA	NA	NA	Tissue enhanced	Group enriched	34	breast: 1.4;epididymis: 5.3	all non-specific tissues: 0.0	Cell line enriched	11	CACO-2: 5.1	Breast
DGAT2L6	DC3, FLJ25989	ENSG00000184210	Diacylglycerol O-acyltransferase 2 like 6	X	70177483-70205545	Predicted membrane proteins	Evidence at transcript level	NA	NA	NA	NA	NA	NA	Tissue enhanced	Group enriched	22	breast: 2.8;skin: 1.6	all non-specific tissues: 0.0	Not detected	NA	NA	Breast
SLCO1B7	LST3, SLC21A21	ENSG00000205754	Solute carrier organic anion transporter family member 1B7 (putative)	12	21015696-21092745	Predicted membrane proteins	Evidence at transcript level	HPA050892	Uncertain	NA	NA	NA	NA	Not detected	Tissue enriched	17	breast: 43.2	liver: 2.4	Cell line enhanced	NA	A-431: 2.3;A549: 1.6;CAPAN-2: 1.6;HeLa: 1.1;U-2 OS: 1.3	Breast
UGT2B11	NA	ENSG00000213759	UDP glucuronosyltransferase family 2 member B11	4	69199951-69214731	Enzymes, Predicted membrane proteins	Evidence at transcript level	HPA045108	Uncertain	NA	NA	NA	NA	Group enriched	Tissue enriched	17	breast: 320.4	gallbladder: 18.3	Not detected	NA	NA	Breast
ANKRD30A	NY-BR-1	ENSG00000148513	Ankyrin repeat domain 30A	10	37125788-37384111	Predicted intracellular proteins	Evidence at protein level	HPA071849	NA	NA	NA	NA	NA	Tissue enriched	Tissue enriched	15	breast: 49.8	testis: 3.3	Group enriched	34	A549: 2.4;U-266/70: 8.1	Breast
KRT25	KRT25A	ENSG00000204897	Keratin 25	17	40748021-40755332	Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA053977, HPA058943	Enhanced	NA	Approved	Vesicles	NA	Not detected	Group enriched	15	breast: 3.6;testis: 1.6	smooth muscle: 0.1	Cell line enriched	5	RPTEC TERT1: 1.0	Breast
CHIT1	CHI3, CHIT	ENSG00000133063	Chitinase 1	1	203212827-203273641	Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA010575	Approved	NA	NA	NA	Cervical cancer:2.02e-4 (favourable)	Tissue enhanced	Group enriched	14	bone marrow: 31.3;breast: 10.9;cervix, uterine: 13.5;lung: 53.2;lymph node: 21.0	prostate,thyroid gland: 1.8	Not detected	NA	NA	Breast
FAM25C	bA164N7.4	ENSG00000276430	Family with sequence similarity 25 member C	10	47995355-47999791	Predicted intracellular proteins	Evidence at transcript level	HPA044808	Uncertain	NA	NA	NA	NA	Tissue enhanced	Group enriched	14	breast: 5.3;esophagus: 4.0;skin: 9.0;small intestine: 4.3;tonsil: 2.1	skeletal muscle,testis: 0.3	Cell line enriched	5	SK-BR-3: 12.1	Breast
AKR1B15	NA	ENSG00000227471	Aldo-keto reductase family 1 member B15	7	134549136-134579875	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA020280, HPA073633	Uncertain	NA	Supported	Plasma membrane<br>Cytosol	Liver cancer:1.80e-5 (unfavourable), Urothelial cancer:1.90e-5 (unfavourable), Head and neck cancer:8.36e-4 (favourable)	Mixed	Tissue enriched	13	breast: 179.9	duodenum: 13.7	Group enriched	8	A549: 14.3;HDLM-2: 11.8;Hep G2: 7.6;NTERA-2: 3.2;SK-BR-3: 3.8;U-87 MG: 6.4	Breast
CSN3	CSN10	ENSG00000171209	Casein kappa	4	70242588-70251428	Predicted secreted proteins	Evidence at protein level	HPA035953, HPA035954	Enhanced	NA	NA	NA	NA	Group enriched	Tissue enriched	13	breast: 428.0	salivary gland: 32.0	Not detected	NA	NA	Breast
EN1	NA	ENSG00000163064	Engrailed homeobox 1	2	118842171-118847678	Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB014884, HPA073141	Approved	NA	Supported	Nucleus<br>Nucleoli	NA	Tissue enhanced	Group enriched	13	adipose tissue: 1.3;breast: 1.0;lymph node: 1.9;skeletal muscle: 4.7;skin: 2.2	testis: 0.1	Cell line enhanced	NA	ASC diff: 10.8;fHDF/TERT166: 10.2;HSkMC: 9.7;PC-3: 7.1;U-138 MG: 9.6;U-2197: 10.2	Breast
FABP7	B-FABP, BLBP	ENSG00000164434	Fatty acid binding protein 7	6	122779475-122784074	Predicted intracellular proteins	Evidence at protein level	CAB025488, HPA028825, CAB058697	Enhanced	NA	NA	NA	Renal cancer:1.65e-6 (unfavourable), Breast cancer:2.49e-4 (favourable)	Group enriched	Group enriched	13	breast: 33.1;cerebral cortex: 102.3	skin: 5.2	Group enriched	8	AF22: 75.1;U-251 MG: 17.6;WM-115: 45.7	Breast
OXTR	NA	ENSG00000180914	Oxytocin receptor	3	8750408-8769628	FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	NA	NA	NA	NA	NA	NA	Mixed	Tissue enriched	13	breast: 65.4	fallopian tube: 4.9	Cell line enhanced	NA	BJ: 357.1;BJ hTERT+: 104.6;BJ hTERT+ SV40 Large T+: 111.8;fHDF/TERT166: 330.6	Breast
RP11-545J16.1	NA	ENSG00000257046	NA	12	20815674-21090245	Predicted membrane proteins	Evidence at transcript level	HPA050892	Uncertain	NA	NA	NA	NA	Not detected	Tissue enriched	13	breast: 26.9	liver: 2.0	Cell line enhanced	NA	A-431: 1.4;CAPAN-2: 1.4;HeLa: 1.8	Breast
C10orf90	bA422P15.2, FATS, FLJ32938	ENSG00000154493	Chromosome 10 open reading frame 90	10	126424997-126670446	Predicted intracellular proteins	Evidence at protein level	HPA038648, HPA057599	Uncertain	NA	Approved	Nucleoplasm<br>Plasma membrane<br>Cytosol	NA	Tissue enriched	Group enriched	12	breast: 5.6;cerebral cortex: 15.3;salivary gland: 4.3;testis: 12.1	adipose tissue,skin: 0.7	Group enriched	9	SK-MEL-30: 94.3;U-2197: 33.5;U-266/84: 18.9;U-87 MG: 36.2;WM-115: 29.4	Breast
CST9	CLM, CTES7A	ENSG00000173335	Cystatin 9	20	23602410-23605876	Predicted secreted proteins	Evidence at transcript level	HPA029190	Uncertain	NA	NA	NA	NA	Tissue enriched	Tissue enriched	12	breast: 2.1	kidney: 0.1	Not detected	NA	NA	Breast
SERHL2	NA	ENSG00000183569	Serine hydrolase-like 2	22	42553617-42574382	Plasma proteins, Predicted intracellular proteins	Evidence at transcript level	NA	NA	NA	NA	NA	NA	Group enriched	Tissue enriched	12	breast: 558.7	epididymis: 45.4	Cell line enriched	9	SK-BR-3: 207.3	Breast
UGT2B28	NA	ENSG00000135226	UDP glucuronosyltransferase family 2 member B28	4	69280499-69295050	Enzymes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA045108	Uncertain	NA	NA	NA	NA	Tissue enriched	Tissue enriched	12	breast: 267.2	gallbladder: 21.5	Group enriched	9	Daudi: 2.1;NB-4: 1.7	Breast
ABCC11	MRP8	ENSG00000121270	ATP binding cassette subfamily C member 11	16	48166910-48247568	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA031980, HPA031981, HPA031982, CAB032513	Uncertain	NA	NA	NA	NA	Group enriched	Tissue enriched	11	breast: 64.4	prostate: 6.0	Cell line enriched	5	T-47d: 64.4	Breast
GPR88	NA	ENSG00000181656	G protein-coupled receptor 88	1	100538137-100542018	Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins	Evidence at transcript level	HPA007488	NA	Approved	NA	NA	NA	Tissue enriched	Group enriched	11	breast: 9.4;cerebral cortex: 3.1;liver: 4.9;ovary: 3.1;parathyroid gland: 4.9;spleen: 14.4	prostate: 0.6	Group enriched	8	HSkMC: 1.1;SCLC-21H: 2.3	Breast
ATP6V1B1	ATP6B1, RTA1B, VATB, Vma2, VPP3	ENSG00000116039	ATPase H+ transporting V1 subunit B1	2	70935882-70965406	Disease related genes, Predicted intracellular proteins	Evidence at protein level	CAB009523, HPA031847	Enhanced	NA	Approved	Nucleus<br>Nuclear membrane	NA	Group enriched	Group enriched	10	breast: 16.1;cervix, uterine: 47.9;fallopian tube: 21.1;kidney: 64.8;placenta: 27.8;salivary gland: 66.5	skin: 4.2	Group enriched	6	BEWO: 20.0;HaCaT: 17.4;SK-BR-3: 34.9	Breast
C6orf223	MGC45491	ENSG00000181577	Chromosome 6 open reading frame 223	6	44000580-44005958	Predicted intracellular proteins	Evidence at transcript level	HPA035765, HPA046117	Uncertain	NA	Approved	Nucleoli fibrillar center	Renal cancer:9.38e-5 (unfavourable), Liver cancer:4.59e-4 (unfavourable)	Mixed	Group enriched	10	breast: 22.7;lung: 5.6	duodenum: 1.3	Cell line enhanced	NA	A-431: 21.4;RPTEC TERT1: 25.1;THP-1: 9.6	Breast
OPRPN	BPLP, PRL1, PROL1	ENSG00000171199	Opiorphin prepropeptide	4	70397882-70410194	Predicted secreted proteins	Evidence at protein level	HPA065711	Approved	NA	NA	NA	NA	Tissue enhanced	Group enriched	10	breast: 33.1;salivary gland: 18.9	epididymis: 2.5	Not detected	NA	NA	Breast
DHRS2	HEP27, SDR25C1	ENSG00000100867	Dehydrogenase/reductase 2	14	23630115-23645639	Predicted intracellular proteins	Evidence at protein level	HPA053915, HPA069551	Enhanced	NA	Enhanced	Nucleus<br>Mitochondria	Renal cancer:3.75e-5 (unfavourable), Endometrial cancer:3.23e-4 (unfavourable), Urothelial cancer:6.45e-4 (favourable)	Tissue enriched	Group enriched	9	breast: 436.3;urinary bladder: 339.0	salivary gland: 40.8	Cell line enhanced	NA	Hep G2: 476.9;RT4: 659.6;SK-BR-3: 2967.1;U-2 OS: 1332.4	Breast
KRT79	K6L, KRT6L	ENSG00000185640	Keratin 79	12	52821410-52834295	Predicted intracellular proteins	Evidence at protein level	HPA059347	Enhanced	NA	NA	NA	NA	Group enriched	Group enriched	9	breast: 4.0;skin: 17.1	esophagus: 1.1	Cell line enriched	18	HMC-1: 375.1	Breast
SCGB1D2	LIPB, LPHB	ENSG00000124935	Secretoglobin family 1D member 2	11	62242210-62244808	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	HPA035318	Approved	NA	NA	NA	Endometrial cancer:3.46e-6 (favourable), Renal cancer:8.03e-6 (favourable)	Group enriched	Group enriched	9	breast: 1446.3;cervix, uterine: 5193.3	epididymis: 385.3	Cell line enriched	7	SCLC-21H: 11.2	Breast
C5orf46	MGC23985, SSSP1	ENSG00000178776	Chromosome 5 open reading frame 46	5	147880726-147906538	Predicted secreted proteins	Evidence at transcript level	HPA058999	NA	NA	Approved	Nuclear speckles<br>Mitochondria	Renal cancer:1.75e-9 (unfavourable), Cervical cancer:3.98e-4 (unfavourable)	Tissue enhanced	Group enriched	8	breast: 17.6;salivary gland: 77.2;skin: 62.4;testis: 19.9	heart muscle: 5.8	Cell line enhanced	NA	PC-3: 83.2;SiHa: 21.5;U-2 OS: 59.9;U-251 MG: 19.3	Breast
ESR1	Era, ESR, NR3A1	ENSG00000091831	Estrogen receptor 1	6	151656691-152129619	Cancer-related genes, Disease related genes, FDA approved drug targets, Nuclear receptors, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB000037, HPA000449, HPA000450, CAB055099, CAB072858	Enhanced	NA	Approved	Nucleus<br>Vesicles	Endometrial cancer:5.47e-7 (favourable)	Group enriched	Group enriched	8	breast: 37.6;cervix, uterine: 127.8;endometrium: 180.8;fallopian tube: 106.4;smooth muscle: 76.5	seminal vesicle: 13.5	Group enriched	11	MCF7: 34.7;T-47d: 53.2	Breast
PAX3	HUP2, WS1	ENSG00000135903	Paired box 3	2	222199888-222298996	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA063659, HPA069000	Approved	NA	Supported	Nucleoplasm	NA	Tissue enriched	Group enriched	8	breast: 1.2;skeletal muscle: 1.1;skin: 3.2;testis: 2.4	prostate: 0.2	Cell line enhanced	NA	BJ hTERT+ SV40 Large T+: 9.6;BJ hTERT+ SV40 Large T+ RasG12V: 11.6;RH-30: 16.2;SK-MEL-30: 24.6	Breast
SYCP2	SCP2	ENSG00000196074	Synaptonemal complex protein 2	20	59863563-59933655	Predicted intracellular proteins	Evidence at protein level	HPA062401, HPA065613	NA	NA	Supported	Nucleoplasm<br>Plasma membrane<br>Cytosol	NA	Group enriched	Group enriched	8	breast: 17.7;testis: 76.9	prostate: 6.0	Cell line enhanced	NA	MOLT-4: 43.5;SiHa: 97.9;T-47d: 77.3	Breast
AP000322.53	NA	ENSG00000243627	NA	21	34418715-34423966	Predicted membrane proteins	Evidence at transcript level	HPA029085	Uncertain	NA	NA	NA	NA	Not detected	Group enriched	7	breast: 1.5;fallopian tube: 1.4;kidney: 4.3	skin: 0.3	Not detected	NA	NA	Breast
APOD	NA	ENSG00000189058	Apolipoprotein D	3	195568702-195584205	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA040520	Enhanced	NA	Approved	Plasma membrane	Thyroid cancer:4.12e-4 (unfavourable), Breast cancer:5.51e-4 (favourable), Stomach cancer:6.02e-4 (unfavourable)	Expressed in all	Tissue enriched	7	breast: 4620.2	adipose tissue: 670.2	Cell line enhanced	NA	ASC diff: 1866.1;ASC TERT1: 1018.4;WM-115: 301.1	Breast
ARHGAP40	C20orf95, dJ1100H13.4	ENSG00000124143	Rho GTPase activating protein 40	20	38601934-38651035	Predicted intracellular proteins	Evidence at protein level	HPA042636, HPA042840	Uncertain	NA	Supported	Nucleoplasm<br>Plasma membrane<br>Centrosome<br>Cytosol	Renal cancer:2.89e-4 (unfavourable)	Mixed	Group enriched	7	breast: 38.1;epididymis: 43.7;esophagus: 12.6;seminal vesicle: 11.3;skin: 53.8	prostate: 4.4	Cell line enhanced	NA	BEWO: 8.0;HBEC3-KT: 9.7;RPTEC TERT1: 8.8;SK-BR-3: 9.5;T-47d: 14.4	Breast
CARD18	ICEBERG, pseudo-ICE, UNQ5804	ENSG00000255501	Caspase recruitment domain family member 18	11	105137721-105139726	Predicted intracellular proteins	Evidence at protein level	HPA038582	Approved	NA	NA	NA	NA	Tissue enhanced	Group enriched	7	breast: 10.6;skin: 29.7	esophagus: 3.0	Cell line enhanced	NA	BEWO: 3.0;hTCEpi: 1.9;U-2 OS: 2.9	Breast
CH507-396I9.3	NA	ENSG00000278961	NA	21	7788703-7793954	Predicted membrane proteins	Evidence at transcript level	HPA029085	Uncertain	NA	NA	NA	NA	Not detected	Group enriched	7	breast: 1.5;fallopian tube: 1.4;kidney: 4.3	skin: 0.3	Not detected	NA	NA	Breast
GSTT2B	GSTT2P	ENSG00000133433	Glutathione S-transferase theta 2B (gene/pseudogene)	22	23957414-23961186	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA000750	Uncertain	NA	Supported	Nucleoplasm<br>Cytosol	Breast cancer:5.06e-4 (favourable)	Expressed in all	Tissue enriched	7	breast: 411.1	adrenal gland: 60.8	Cell line enhanced	NA	AN3-CA: 53.0;HHSteC: 68.3;T-47d: 60.4	Breast
KRT15	CK15, K15, K1CO	ENSG00000171346	Keratin 15	17	41513743-41522529	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA023910, HPA024554	Enhanced	NA	Supported	Nucleoplasm<br>Intermediate filaments	Breast cancer:4.50e-4 (favourable)	Tissue enhanced	Group enriched	7	breast: 321.5;esophagus: 784.4;skin: 1010.3	prostate: 94.7	Group enriched	12	HaCaT: 732.6;hTCEpi: 454.1	Breast
KRTAP21-1	KAP21.1	ENSG00000187005	Keratin associated protein 21-1	21	30754830-30755428	Predicted intracellular proteins	Evidence at transcript level	NA	NA	NA	NA	NA	NA	Not detected	Group enriched	7	breast: 13.5;testis: 6.0	seminal vesicle: 1.3	Cell line enhanced	NA	SK-MEL-30: 1.2	Breast
SCGB2A2	MGB1, MGC71974, UGB2	ENSG00000110484	Secretoglobin family 2A member 2	11	62270155-62273156	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	CAB026270	Supported	NA	NA	NA	Endometrial cancer:9.57e-8 (favourable)	Tissue enriched	Tissue enriched	7	breast: 3687.7	cervix, uterine: 507.6	Cell line enriched	95	SK-BR-3: 13.3	Breast
SPINK8	NA	ENSG00000229453	Serine peptidase inhibitor, Kazal type 8 (putative)	3	48306842-48328341	Predicted secreted proteins	Evidence at transcript level	HPA053151	Uncertain	NA	NA	NA	Breast cancer:8.47e-4 (unfavourable)	Group enriched	Tissue enriched	7	breast: 58.2	bone marrow: 7.7	Cell line enriched	49	SK-BR-3: 55.0	Breast
TBX15	TBX14	ENSG00000092607	T-box 15	1	118883046-118989556	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA052245, HPA053713	Uncertain	NA	Approved	Nucleoplasm<br>Centrosome	Renal cancer:5.57e-8 (unfavourable)	Mixed	Group enriched	7	adipose tissue: 17.0;breast: 8.9;liver: 24.1;skeletal muscle: 42.2	lymph node: 3.1	Cell line enhanced	NA	ASC diff: 36.8;BJ hTERT+ SV40 Large T+ RasG12V: 20.9;fHDF/TERT166: 22.5;HSkMC: 28.3;RH-30: 29.4;U-2197: 26.3	Breast
ABCA12	DKFZP434G232, ICR2B, LI2	ENSG00000144452	ATP binding cassette subfamily A member 12	2	214931542-215138428	Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA078239	NA	NA	Approved	Nucleoli<br>Vesicles<br>Plasma membrane<br>Cytosol	NA	Mixed	Group enriched	6	breast: 7.7;skin: 25.2	tonsil: 2.5	Group enriched	6	hTCEpi: 28.4;SK-BR-3: 13.8;T-47d: 9.1	Breast
ALDH3B2	ALDH8	ENSG00000132746	Aldehyde dehydrogenase 3 family member B2	11	67662162-67681200	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA045132	Enhanced	NA	NA	NA	NA	Mixed	Group enriched	6	breast: 89.9;esophagus: 103.4;skin: 122.2	tonsil: 19.0	Cell line enhanced	NA	MCF7: 49.6;SK-BR-3: 48.3;T-47d: 12.2	Breast
GLRA3	NA	ENSG00000145451	Glycine receptor alpha 3	4	174636914-174829314	FDA approved drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	NA	NA	NA	NA	NA	NA	Tissue enhanced	Group enriched	6	breast: 2.6;cerebral cortex: 9.1	adrenal gland: 1.0	Cell line enhanced	NA	Karpas-707: 1.4	Breast
